unidade;mes;ano;porte;quantidade
HJXXIII;Julho;2016;PORTE II ( 2 A 4 HORAS);215
HJXXIII;Julho;2016;PORTE III (4 A 5 HORAS);44
HJXXIII;Julho;2016;PORTE IV (ACIMA 6 HORAS);52
HJXXIII;Agosto;2016;PORTE I (0 A 2 HORAS);267
HJXXIII;Agosto;2016;PORTE II ( 2 A 4 HORAS);201
HJXXIII;Agosto;2016;PORTE III (4 A 5 HORAS);43
HJXXIII;Agosto;2016;PORTE IV (ACIMA 6 HORAS);47
HJXXIII;Setembro;2016;PORTE I (0 A 2 HORAS);256
HJXXIII;Setembro;2016;PORTE II ( 2 A 4 HORAS);195
HJXXIII;Setembro;2016;PORTE III (4 A 5 HORAS);44
HJXXIII;Setembro;2016;PORTE IV (ACIMA 6 HORAS);47
HJXXIII;Outubro;2016;PORTE I (0 A 2 HORAS);277
HJXXIII;Outubro;2016;PORTE II ( 2 A 4 HORAS);220
HJXXIII;Outubro;2016;PORTE III (4 A 5 HORAS);48
HJXXIII;Outubro;2016;PORTE IV (ACIMA 6 HORAS);35
HJXXIII;Novembro;2016;PORTE I (0 A 2 HORAS);259
HJXXIII;Novembro;2016;PORTE II ( 2 A 4 HORAS);194
HJXXIII;Novembro;2016;PORTE III (4 A 5 HORAS);36
HJXXIII;Novembro;2016;PORTE IV (ACIMA 6 HORAS);41
HJXXIII;Dezembro;2016;PORTE I (0 A 2 HORAS);254
HJXXIII;Dezembro;2016;PORTE II ( 2 A 4 HORAS);237
HJXXIII;Dezembro;2016;PORTE III (4 A 5 HORAS);51
HJXXIII;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);62
HMAL;Janeiro;2016;PORTE I (0 A 2 HORAS);61
HMAL;Janeiro;2016;PORTE II ( 2 A 4 HORAS);45
HMAL;Janeiro;2016;PORTE III (4 A 5 HORAS);16
HMAL;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);14
HMAL;Fevereiro;2016;PORTE I (0 A 2 HORAS);104
HMAL;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);54
HMAL;Fevereiro;2016;PORTE III (4 A 5 HORAS);9
HMAL;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);6
HMAL;Março;2016;PORTE I (0 A 2 HORAS);99
HMAL;Março;2016;PORTE II ( 2 A 4 HORAS);69
HMAL;Março;2016;PORTE III (4 A 5 HORAS);14
HMAL;Março;2016;PORTE IV (ACIMA 6 HORAS);7
HMAL;Abril;2016;PORTE I (0 A 2 HORAS);135
HMAL;Abril;2016;PORTE II ( 2 A 4 HORAS);25
HMAL;Abril;2016;PORTE III (4 A 5 HORAS);6
HMAL;Abril;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Maio;2016;PORTE I (0 A 2 HORAS);139
HMAL;Maio;2016;PORTE II ( 2 A 4 HORAS);44
HMAL;Maio;2016;PORTE III (4 A 5 HORAS);5
HMAL;Maio;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Junho;2016;PORTE I (0 A 2 HORAS);158
HMAL;Junho;2016;PORTE II ( 2 A 4 HORAS);44
HMAL;Junho;2016;PORTE III (4 A 5 HORAS);4
HMAL;Junho;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Julho;2016;PORTE I (0 A 2 HORAS);154
HMAL;Julho;2016;PORTE II ( 2 A 4 HORAS);30
HMAL;Julho;2016;PORTE III (4 A 5 HORAS);2
HMAL;Julho;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Agosto;2016;PORTE I (0 A 2 HORAS);171
HMAL;Agosto;2016;PORTE II ( 2 A 4 HORAS);39
HMAL;Agosto;2016;PORTE III (4 A 5 HORAS);2
HMAL;Agosto;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Setembro;2016;PORTE I (0 A 2 HORAS);143
HMAL;Setembro;2016;PORTE II ( 2 A 4 HORAS);44
HMAL;Setembro;2016;PORTE III (4 A 5 HORAS);2
HMAL;Setembro;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Outubro;2016;PORTE I (0 A 2 HORAS);127
HMAL;Outubro;2016;PORTE II ( 2 A 4 HORAS);38
HMAL;Outubro;2016;PORTE III (4 A 5 HORAS);2
HMAL;Outubro;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Novembro;2016;PORTE I (0 A 2 HORAS);163
HMAL;Novembro;2016;PORTE II ( 2 A 4 HORAS);31
HMAL;Novembro;2016;PORTE III (4 A 5 HORAS);4
HMAL;Novembro;2016;PORTE IV (ACIMA 6 HORAS);0
HMAL;Dezembro;2016;PORTE I (0 A 2 HORAS);138
HMAL;Dezembro;2016;PORTE II ( 2 A 4 HORAS);39
HMAL;Dezembro;2016;PORTE III (4 A 5 HORAS);3
HMAL;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);1
HOGV;Janeiro;2016;PORTE I (0 A 2 HORAS);75
HOGV;Janeiro;2016;PORTE II ( 2 A 4 HORAS);56
HOGV;Janeiro;2016;PORTE III (4 A 5 HORAS);54
HOGV;Fevereiro;2016;PORTE I (0 A 2 HORAS);73
HOGV;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);63
HOGV;Fevereiro;2016;PORTE III (4 A 5 HORAS);77
HOGV;Março;2016;PORTE I (0 A 2 HORAS);73
HOGV;Março;2016;PORTE II ( 2 A 4 HORAS);60
HOGV;Março;2016;PORTE III (4 A 5 HORAS);83
HOGV;Abril;2016;PORTE I (0 A 2 HORAS);65
HOGV;Abril;2016;PORTE II ( 2 A 4 HORAS);42
HOGV;Abril;2016;PORTE III (4 A 5 HORAS);72
HOGV;Maio;2016;PORTE I (0 A 2 HORAS);86
HOGV;Maio;2016;PORTE II ( 2 A 4 HORAS);54
HOGV;Maio;2016;PORTE III (4 A 5 HORAS);83
HOGV;Junho;2016;PORTE I (0 A 2 HORAS);80
HOGV;Junho;2016;PORTE II ( 2 A 4 HORAS);59
HOGV;Junho;2016;PORTE III (4 A 5 HORAS);98
HOGV;Julho;2016;PORTE I (0 A 2 HORAS);96
HOGV;Julho;2016;PORTE II ( 2 A 4 HORAS);58
HOGV;Julho;2016;PORTE III (4 A 5 HORAS);84
HOGV;Agosto;2016;PORTE I (0 A 2 HORAS);96
HOGV;Agosto;2016;PORTE II ( 2 A 4 HORAS);74
