column_1;column_2;column_3;column_4;column_5;column_6;column_7
"HMAL;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HMAL;Novembro;2024;PORTE";I;(0;A;2;"HORAS);156";
"HMAL;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);63"
"HMAL;Novembro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HMAL;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HRAD;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);369";
"HRAD;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);48"
"HRAD;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);6";
"HRAD;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);3";;
"HRAD;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);342";
"HRAD;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);61"
"HRAD;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);6";
"HRAD;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HRAD;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);414";
"HRAD;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);42"
"HRAD;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);5";
"HRAD;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);2";;
"HRAD;Abril;2024;PORTE";I;(0;A;2;"HORAS);354";
"HRAD;Abril;2024;PORTE";II;(;2;A;4;"HORAS);53"
"HRAD;Abril;2024;PORTE";III;(4;A;5;"HORAS);7";
"HRAD;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HRAD;Maio;2024;PORTE";I;(0;A;2;"HORAS);381";
"HRAD;Maio;2024;PORTE";II;(;2;A;4;"HORAS);58"
"HRAD;Maio;2024;PORTE";III;(4;A;5;"HORAS);1";
"HRAD;Junho;2024;PORTE";I;(0;A;2;"HORAS);352";
"HRAD;Junho;2024;PORTE";II;(;2;A;4;"HORAS);58"
"HRAD;Junho;2024;PORTE";III;(4;A;5;"HORAS);4";
"HRAD;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HRAD;Julho;2024;PORTE";I;(0;A;2;"HORAS);398";
"HRAD;Julho;2024;PORTE";II;(;2;A;4;"HORAS);53"
"HRAD;Julho;2024;PORTE";III;(4;A;5;"HORAS);7";
"HRAD;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HRAD;Agosto;2024;PORTE";I;(0;A;2;"HORAS);395";
"HRAD;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);54"
"HRAD;Agosto;2024;PORTE";III;(4;A;5;"HORAS);3";
"HRAD;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);3";;
"HRAD;Setembro;2024;PORTE";I;(0;A;2;"HORAS);519";
"HRAD;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);60"
"HRAD;Setembro;2024;PORTE";III;(4;A;5;"HORAS);5";
"HRAD;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);2";;
"HRAD;Outubro;2024;PORTE";I;(0;A;2;"HORAS);386";
"HRAD;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);61"
"HRAD;Outubro;2024;PORTE";III;(4;A;5;"HORAS);6";
"HRAD;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HRAD;Novembro;2024;PORTE";I;(0;A;2;"HORAS);374";
"HRAD;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);53"
"HRAD;Novembro;2024;PORTE";III;(4;A;5;"HORAS);4";
"HRAD;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);1";;
"HRJP;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);118";
"HRJP;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);12"
"HRJP;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);0";
"HRJP;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);129";
